Setor;Subsetor;Segmento;Codigo;Nome;Cod_Clase;Classe;
Bens Industriais;Material de Transporte;Material Rodoviário;POMO;MARCOPOLO   ;N2;(N2) Nível 2 de Governança Corporativa;
Bens Industriais;Material de Transporte;Material Rodoviário;RAPT;RANDON PART ;N1;(N1) Nível 1 de Governança Corporativa;
Bens Industriais;Material de Transporte;Material Rodoviário;RCSL;RECRUSUL    ;Null;Null;
Bens Industriais;Material de Transporte;Material Rodoviário;RSUL;RIOSULENSE  ;Null;Null;
Bens Industriais;Material de Transporte;Material Rodoviário;TUPY;TUPY        ;NM;(NM) Novo Mercado;
Bens Industriais;Material de Transporte;Material Rodoviário;MWET;WETZEL S/A  ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;SHUL;SCHULZ      ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;WEGE;WEG         ;NM;(NM) Novo Mercado;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;EALT;ACO ALTONA  ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;AERI;AERIS;NM;(NM) Novo Mercado;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;BDLL;BARDELLA    ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;ROMI;INDS ROMI   ;NM;(NM) Novo Mercado;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;INEP;INEPAR      ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;KEPL;KEPLER WEBER;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;FRIO;METALFRIO   ;NM;(NM) Novo Mercado;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;NORD;NORDON MET  ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;PTCA;PRATICA;M2;(M2) Bovespa Mais - Nível 2;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;MTSA;METISA      ;Null;Null;
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;STTR;STARA;MA;(MA) Bovespa Mais;
Bens Industriais;Máquinas e Equipamentos;Armas e Munições;TASA;TAURUS ARMAS;N2;(N2) Nível 2 de Governança Corporativa;
Bens Industriais;Transporte;Transporte Aéreo;AZUL;AZUL;N2;(N2) Nível 2 de Governança Corporativa;
Bens Industriais;Transporte;Transporte Aéreo;GOLL;GOL         ;N2;(N2) Nível 2 de Governança Corporativa;
Bens Industriais;Transporte;Transporte Ferroviário;FRRN;ALL NORTE   ;MB;(MB) Balcão Organizado Tradicional;
Bens Industriais;Transporte;Transporte Ferroviário;GASC;ALL PAULISTA;MB;(MB) Balcão Organizado Tradicional;
Bens Industriais;Transporte;Transporte Ferroviário;RLOG;COSAN LOG;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Transporte Ferroviário;VSPT;FER C ATLANT;Null;Null;
Bens Industriais;Transporte;Transporte Ferroviário;MRSA;MRS LOGIST  ;MB;(MB) Balcão Organizado Tradicional;
Bens Industriais;Transporte;Transporte Ferroviário;RAIL;RUMO S.A.;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Transporte Hidroviário;HBSA;HIDROVIAS;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Transporte Hidroviário;LOGN;LOG-IN      ;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Transporte Hidroviário;LUXM;TREVISA     ;Null;Null;
Bens Industriais;Transporte;Transporte Rodoviário;JSLG;JSL         ;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Transporte Rodoviário;TGMA;TEGMA       ;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Exploração de Rodovias;ANHB;AUTOBAN     ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;CCRO;CCR SA      ;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Exploração de Rodovias;RPTA;CONC RAPOSO ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;CRTE;CONC RIO TER;MB;(MB) Balcão Organizado Tradicional;
Bens Industriais;Transporte;Exploração de Rodovias;ERDV;ECON        ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;ASCP;ECOPISTAS   ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;ECOR;ECORODOVIAS ;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Exploração de Rodovias;ECOV;ECOVIAS     ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;COLN;ROD COLINAS ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;RDVT;ROD TIETE   ;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;CRBD;RT BANDEIRAS;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;TRIA;TRIANGULOSOL;Null;Null;
Bens Industriais;Transporte;Exploração de Rodovias;TPIS;TRIUNFO PART;NM;(NM) Novo Mercado;
Bens Industriais;Transporte;Exploração de Rodovias;VOES;VIAOESTE    ;Null;Null;
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;AGRU;GRUAIRPORT;MB;(MB) Balcão Organizado Tradicional;
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;PSVM;PORTO VM;Null;Null;
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;IVPR;INVEPAR     ;MB;(MB) Balcão Organizado Tradicional;
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;SAIP;SALUS INFRA;Null;Null;
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;STBP;SANTOS BRP  ;N2;(N2) Nível 2 de Governança Corporativa;
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;WSON;WILSON SONS ;DR3;(DR3) BDR Nível 3;
Bens Industriais;Serviços Diversos;Serviços Diversos;ATMP;ATMASA;NM;(NM) Novo Mercado;
Bens Industriais;Serviços Diversos;Serviços Diversos;BBML;BBMLOGISTICA;MA;(MA) Bovespa Mais;
Bens Industriais;Serviços Diversos;Serviços Diversos;DTCY;DTCOM-DIRECT;Null;Null;
Bens Industriais;Serviços Diversos;Serviços Diversos;ALPK;ESTAPAR;NM;(NM) Novo Mercado;
Bens Industriais;Serviços Diversos;Serviços Diversos;FLEX;FLEX S/A;MA;(MA) Bovespa Mais;
Bens Industriais;Serviços Diversos;Serviços Diversos;GGPS;GPS;NM;(NM) Novo Mercado;
Bens Industriais;Serviços Diversos;Serviços Diversos;PRNR;PRINER;MA;(MA) Bovespa Mais;
Bens Industriais;Serviços Diversos;Serviços Diversos;SEQL;SEQUOIA LOG;NM;(NM) Novo Mercado;
Bens Industriais;Serviços Diversos;Serviços Diversos;VLID;VALID       ;NM;(NM) Novo Mercado;
Bens Industriais;Comércio;Material de Transporte;BTTL;BATTISTELLA ;Null;Null;
Bens Industriais;Comércio;Material de Transporte;MMAQ;MINASMAQUINA;Null;Null;
Bens Industriais;Comércio;Material de Transporte;WLMM;WLM IND COM ;Null;Null;
Consumo não Cíclico;Agropecuária;Agricultura;APTI;ALIPERTI    ;Null;Null;
Consumo não Cíclico;Agropecuária;Agricultura;SOJA;BOA SAFRA;NM;(NM) Novo Mercado;
Consumo não Cíclico;Agropecuária;Agricultura;AGRO;BRASILAGRO  ;NM;(NM) Novo Mercado;
Consumo não Cíclico;Agropecuária;Agricultura;FRTA;POMIFRUTAS;NM;(NM) Novo Mercado;
Consumo não Cíclico;Agropecuária;Agricultura;SLCE;SLC AGRICOLA;NM;(NM) Novo Mercado;
Consumo não Cíclico;Agropecuária;Agricultura;TESA;TERRA SANTA;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;BSEV;BIOSEV;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;JALL;JALLESMACHAD;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;RESA;RAIZEN ENERG;Null;Null;
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;SMTO;SAO MARTINHO;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;BRFS;BRF SA   ;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;BAUH;EXCELSIOR   ;Null;Null;
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;JBSS;JBS         ;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;MRFG;MARFRIG     ;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;BEEF;MINERVA     ;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;MNPR;MINUPAR     ;Null;Null;
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;CAML;CAMIL;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;JMCD;J.MACEDO    ;Null;Null;
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;JOPA;JOSAPAR     ;Null;Null;
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;MDIA;M.DIASBRANCO;NM;(NM) Novo Mercado;
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;ODER;ODERICH     ;Null;Null;
Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes;ABEV;AMBEV S/A;Null;Null;
Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;NTCO;GRUPO NATURA      ;NM;(NM) Novo Mercado;
Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;BOBR;BOMBRIL     ;Null;Null;
Consumo não Cíclico;Comércio e Distribuição;Alimentos;ASAI;ASSAI;NM;(NM) Novo Mercado;
Consumo não Cíclico;Comércio e Distribuição;Alimentos;CRFB;CARREFOUR BR;NM;(NM) Novo Mercado;
Consumo não Cíclico;Comércio e Distribuição;Alimentos;GMAT;GRUPO MATEUS;NM;(NM) Novo Mercado;
Consumo não Cíclico;Comércio e Distribuição;Alimentos;PCAR;P.ACUCAR-CBD;N1;(N1) Nível 1 de Governança Corporativa;
Consumo Cíclico;Construção Civil;Incorporações;AVLL;ALPHAVILLE;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;CALI;CONST A LIND;Null;Null;
Consumo Cíclico;Construção Civil;Incorporações;CRDE;CR2         ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;CURY;CURY S/A;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;CYRE;CYRELA REALT;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;DIRR;DIRECIONAL  ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;EVEN;EVEN        ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;EZTC;EZTEC       ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;GFSA;GAFISA      ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;HBOR;HELBOR      ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;INNT;INTER SA ;MA;(MA) Bovespa Mais;
Consumo Cíclico;Construção Civil;Incorporações;JHSF;JHSF PART   ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;JFEN;JOAO FORTES ;Null;Null;
Consumo Cíclico;Construção Civil;Incorporações;KLAS;KALLAS;Null;Null;
Consumo Cíclico;Construção Civil;Incorporações;LAVV;LAVVI;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;MELK;MELNICK;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;MTRE;MITRE REALTY;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;MDNE;MOURA DUBEUX;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;MRVE;MRV         ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;PDGR;PDG REALT   ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;PLPL;PLANOEPLANO;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;RDNI;RNI;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;RSID;ROSSI RESID ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;TCSA;TECNISA     ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;TEGA;TEGRA INCORP;Null;Null;
Consumo Cíclico;Construção Civil;Incorporações;TEND;TENDA;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;TRIS;TRISUL      ;NM;(NM) Novo Mercado;
Consumo Cíclico;Construção Civil;Incorporações;VIVR;VIVER       ;NM;(NM) Novo Mercado;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CEDO;CEDRO       ;N1;(N1) Nível 1 de Governança Corporativa;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CTNM;COTEMINAS   ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;DOHL;DOHLER      ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;ECPR;ENCORPAR    ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CATA;IND CATAGUAS;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CTKA;KARSTEN     ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;PTNT;PETTENATI   ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CTSA;SANTANENSE  ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;SGPS;SPRINGS     ;NM;(NM) Novo Mercado;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;TEKA;TEKA        ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;TXRX;TEX RENAUX  ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Vestuário;HGTX;CIA HERING  ;NM;(NM) Novo Mercado;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Vestuário;TFCO;TRACK FIELD;N2;(N2) Nível 2 de Governança Corporativa;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;ALPA;ALPARGATAS  ;N1;(N1) Nível 1 de Governança Corporativa;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;CAMB;CAMBUCI     ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;GRND;GRENDENE    ;NM;(NM) Novo Mercado;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;VULC;VULCABRAS   ;NM;(NM) Novo Mercado;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;MNDL;MUNDIAL     ;Null;Null;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;TECN;TECHNOS     ;NM;(NM) Novo Mercado;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;VIVA;VIVARA S.A.;NM;(NM) Novo Mercado;
Consumo Cíclico;Utilidades Domésticas;Eletrodomésticos;WHRL;WHIRLPOOL   ;Null;Null;
Consumo Cíclico;Utilidades Domésticas;Móveis;UCAS;UNICASA;NM;(NM) Novo Mercado;
Consumo Cíclico;Utilidades Domésticas;Utensílios Domésticos;HETA;HERCULES    ;Null;Null;
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;MYPK;IOCHP-MAXION;NM;(NM) Novo Mercado;
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;LEVE;METAL LEVE  ;NM;(NM) Novo Mercado;
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;PLAS;PLASCAR PART;Null;Null;
Consumo Cíclico;Hoteis e Restaurantes;Hotelaria;HOOT;HOTEIS OTHON;Null;Null;
Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;BKBR;BK BRASIL;NM;(NM) Novo Mercado;
Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;MEAL;IMC S/A;NM;(NM) Novo Mercado;
Consumo Cíclico;Viagens e Lazer;Bicicletas;BMKS;BIC MONARK  ;Null;Null;
Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;ESTR;ESTRELA     ;Null;Null;
Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;AHEB;SPTURIS     ;Null;Null;
Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;SHOW;TIME FOR FUN;NM;(NM) Novo Mercado;
Consumo Cíclico;Viagens e Lazer;Viagens e Turismo;CVCB;CVC BRASIL;NM;(NM) Novo Mercado;
Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;SMFT;SMART FIT;M2;(M2) Bovespa Mais - Nível 2;
Consumo Cíclico;Diversos;Serviços Educacionais;ANIM;ANIMA;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Serviços Educacionais;BAHI;BAHEMA      ;MA;(MA) Bovespa Mais;
Consumo Cíclico;Diversos;Serviços Educacionais;COGN;COGNA ON;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Serviços Educacionais;CSED;CRUZEIRO EDU;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Serviços Educacionais;SEER;SER EDUCA;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Serviços Educacionais;YDUQ;YDUQS PART;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Aluguel de carros;RENT;LOCALIZA    ;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Aluguel de carros;LCAM;LOCAMERICA;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Aluguel de carros;MSRO;MAESTROLOC;M2;(M2) Bovespa Mais - Nível 2;
Consumo Cíclico;Diversos;Aluguel de carros;MOVI;MOVIDA;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Aluguel de carros;UNID;UNIDAS      ;Null;Null;
Consumo Cíclico;Diversos;Aluguel de carros;VAMO;VAMOS;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Programas de Fidelização;DOTZ;DOTZ SA;NM;(NM) Novo Mercado;
Consumo Cíclico;Diversos;Programas de Fidelização;SMLS;SMILES;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;ARZZ;AREZZO CO   ;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;CEAB;CEA MODAS;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;CGRA;GRAZZIOTIN  ;Null;Null;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;SOMA;GRUPO SOMA;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;GUAR;GUARARAPES  ;Null;Null;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;LLIS;LE LIS BLANC;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;AMAR;LOJAS MARISA;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;LREN;LOJAS RENNER;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Tecidos, Vestuário e Calçados;SBFG;Centauro;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Eletrodomésticos;ALLD;ALLIED;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Eletrodomésticos;MGLU;MAGAZ LUIZA ;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Eletrodomésticos;VVAR;VIAVAREJO;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Produtos Diversos;BTOW;B2W DIGITAL;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Produtos Diversos;CNTO;CENTAURO;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Produtos Diversos;ESPA;ESPACOLASER;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Produtos Diversos;LAME;LOJAS AMERIC;N1;(N1) Nível 1 de Governança Corporativa;
Consumo Cíclico;Comércio;Produtos Diversos;PETZ;PETZ;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Produtos Diversos;LJQQ;QUERO-QUERO;NM;(NM) Novo Mercado;
Consumo Cíclico;Comércio;Produtos Diversos;SLED;SARAIVA LIVR;N2;(N2) Nível 2 de Governança Corporativa;
Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;BIOM;BIOMM       ;MA;(MA) Bovespa Mais;
Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;NRTQ;NORTCQUIMICA;MA;(MA) Bovespa Mais;
